Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2010,0.0026091304159063123,0.001263401965774888,0.000945244601719031,0.0021395649899692776,0.0033075574392787445,0.0030665659927695435,0.0012056206054975294,0.01080499617471079,0.0010913342283311255,0.003053249550721207,0.0020421019319359066,0.0042772985714233346,0.0009879576679478867,0.00149330685355281,0.0011209681551597474,0.0009940639652120753,0.0006327719187785298,0.0015229971885605273,0.002746317048463849,0.0025353650371242264,0.0018735151809147108,0.0017917799552619885,0.001321995100984612,0.0014816008670066937,0.0013903995885337815,0.000923468903371419,0.0016302575806977503,0.0012753539496898967,0.0011845355108624426,0.0021185201942459527,0.0011952566384584075,0.0015603615240768996,0.001683007580556734,0.00414495850232532,0.0033812924426779036,0.0010890753413292438,0.0013908383411759167,0.00507862330017759,0.0011418823422244034,0.0012170843709088356,0.0009648522425750273,0.0008954766790187732,0.0016165694276139193,0.0013912442051297897,0.00118328441415531,0.0011313551978108527,0.0019489378288832587,0.003392738134536793,0.0011129538300778013,0.0012209920020709406,0.0010256628279596749
2011,0.002944460664191733,0.0011579364480809881,0.0011648267235200083,0.0016242052349693366,0.0033210834628712833,0.0029532897256152363,0.0012412626225907011,0.010549947862692735,0.0011399632568364754,0.0029683794565750596,0.0021377735152538677,0.004491009272322958,0.0010224378454683394,0.0013881322582620383,0.0010893457953227415,0.0009508200746415243,0.0008043204694332084,0.0013809821772280296,0.0020306403543818206,0.0025202955327822177,0.001746867472003146,0.0018423000216076873,0.00133502588492168,0.0014013112309439434,0.0015292684716315874,0.0007743030768641867,0.0017718608848681277,0.0013362397099646948,0.0008796806890394412,0.001925871323786845,0.001114167677305489,0.0015989833103784163,0.001733119769597585,0.003365976561767141,0.0032503345751836534,0.0011286443171416038,0.0012215175129956259,0.004460667455870959,0.0011845302050101955,0.0010166744104951205,0.0010899626913025771,0.0010019432361553521,0.0014244328450173924,0.0014392279552493726,0.0011114567398310586,0.0010870483296311299,0.001825347438290811,0.0029958138634991176,0.0010131987305679517,0.001191931738053189,0.0018283499933946894
2012,0.0026166444851447633,0.0010816119735213747,0.0014281429566354931,0.00172559260563262,0.003159552923971577,0.003230911312370818,0.0011711853347227653,0.010945544577831574,0.0010992450324048275,0.0028520241462072576,0.002069257387135908,0.0044876492649911625,0.0009517896440865843,0.001233151472732502,0.001098921760717556,0.0009573640322049979,0.000851915701243076,0.0011927570682259323,0.0016883066948572467,0.00262856397889579,0.0016051884907951253,0.0018007442273467807,0.0012735609277333064,0.0014393289574808768,0.0017364779023519542,0.000808390104340281,0.0018235249642855722,0.001387621297585976,0.0009799355350547723,0.0020417895970577535,0.0011323193927861566,0.0014679015296717277,0.0015572631328391042,0.003086938909707854,0.0035487843579649386,0.001210041971842911,0.0013182941608895237,0.0040593816649722655,0.0011537870695985093,0.0012128395737111086,0.0010411459171828265,0.001029431679411726,0.0014604203767221448,0.0013060927662628245,0.0012350382487178644,0.0010283142872209734,0.001851721781994879,0.002973651625051884,0.0010525347015993393,0.0012980997112940062,0.0031433946234601614
2013,0.002640867767978189,0.0009709121832810537,0.0012884198031340506,0.0015943563227881702,0.0030925100357496477,0.001851696113013832,0.0012369288902150527,0.010575123427788005,0.001022266167420399,0.0024441806877757567,0.0016996600279340743,0.004504149007345282,0.00099743525888361,0.001104831170506901,0.0010423537239979332,0.0009279807194347111,0.0008057878451518431,0.0011919162399894375,0.0011296035234292221,0.0028372755594110203,0.0013833791171967429,0.0022692457015249692,0.001164463174092043,0.0015159118143124295,0.0014799648700723896,0.000803549394378565,0.001851497662459554,0.0012363855840367257,0.0028576598127949683,0.001683115170567266,0.0010939851983122234,0.0013486663126258405,0.001351913228176001,0.0025261406571195607,0.003935741934880474,0.0010652529442035632,0.0011442173286107546,0.003520854990548305,0.0011803146118192008,0.0013142987921556115,0.001372513734575475,0.0012947940756661562,0.00146701502628017,0.0011186647792464357,0.0011289633002522167,0.0009228227313810075,0.002318461587524317,0.0025487922943809175,0.001062886153818293,0.0012086998328864561,0.0016355348696720693
2014,0.0024215934464948655,0.0009417300164725325,0.000989581086328142,0.001561757579211764,0.002945956922825556,0.0018745158559965067,0.0012389079457987518,0.011757118686504654,0.0009636899592276789,0.0020887194418188664,0.001637813191747071,0.004884389370134056,0.0010044948086086686,0.0012880066016460038,0.0010186093010445506,0.0009053508799461672,0.0008695022349759947,0.0011531688804382087,0.000990989440346997,0.0031462637062918313,0.0013165094066909715,0.002048516628980273,0.0012330866588535208,0.0015361878884137471,0.0012446934711339678,0.0007438845074187943,0.0017059891461939823,0.0011566879888758243,0.0017002205691549173,0.0016085947654221233,0.0010355651920649818,0.0013076749235098124,0.001318275737581516,0.003029283663717745,0.004087021766091412,0.0010197157112290683,0.0010808513425793276,0.0030652376000127003,0.0011987742527402034,0.001128518321826872,0.0010473383687865413,0.0010380488903433303,0.00143857674566284,0.0010575343598461906,0.00104730515229265,0.0008440165956265993,0.002486506832710245,0.002614330534620813,0.0010515115630671628,0.0010889828262052655,0.0012970279726270556
2015,0.0026514519952989596,0.0008179032216528031,0.0008596797759996884,0.001451544649739313,0.0029681022230633788,0.0018266343587481984,0.0011289553188106216,0.010886411675818233,0.001009452628813782,0.0017732848852803228,0.001352040581218617,0.005346779337294066,0.0009868683410009683,0.0011894764609505647,0.0010263222807736431,0.0008866181302595222,0.0008077830655229724,0.0010256268856177412,0.0008740704568040848,0.003115308420692664,0.0013995035515530236,0.001784192446066164,0.0010603248833022526,0.0013763957073818476,0.0011062828041981474,0.000663346033806228,0.001655890620140242,0.0010647535581303626,0.0017242860068575052,0.0014489654207359413,0.0010863754979847547,0.0011301090345938933,0.0012637430251383436,0.0030318078007932703,0.004468991855699114,0.0009635427213403774,0.0009666239615254488,0.003286261558193863,0.0012055281215368721,0.001052475021480532,0.0010938062455233416,0.0012075732091258032,0.0013833089514327095,0.0008632268182603497,0.0010114918853272486,0.0008366808734704521,0.0024325653901687942,0.002712040992753087,0.001050123866765166,0.000996712207633349,0.0013604862289128897
2016,0.002614928817324308,0.00084531079719532,0.0008242287788697591,0.0014005050590305595,0.0030099859574583116,0.0019041448088590563,0.0010910254073031038,0.012258320243111118,0.0011238728448162679,0.0016280945694975737,0.0012520403000047234,0.0055447560020356204,0.0009774481903012512,0.0013350048124339032,0.0009053598946189204,0.0008741072926750322,0.0006906778101523446,0.0009549300942489183,0.0008531151090231554,0.002878543182331664,0.0012779967977778247,0.0016830907584723454,0.0009383278104005721,0.0013299028687205976,0.0010571147218119154,0.0005815186805347831,0.0013601657522157849,0.000942071520563946,0.001217755214050494,0.001444065279720793,0.001023378121734049,0.0009944693195314334,0.0010874501144874016,0.002516276889775644,0.004373296334128105,0.000895786625761029,0.0010467531918071365,0.003233935064792297,0.0011998378939923392,0.001098041888404867,0.001018117082053464,0.0012386562428505733,0.0013199133869798414,0.0008298580649125444,0.0009199607894161576,0.000745143018005166,0.0017883617197731647,0.0028577113062568608,0.0009837839184814322,0.0007574673611846855,0.0014637037340670639
